processed 1 of 11 files
processed 11 of 11 files
         35593831 function calls (35376764 primitive calls) in 30.630 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 6329/545    0.007    0.000    0.011    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.010    0.010 describe.py:1(<module>)
    69321    0.010    0.000    0.010    0.000 {method 'replace' of 'str' objects}
        6    0.010    0.002    0.010    0.002 {built-in method srsly.ujson.ujson.load}
        9    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:415(spec_from_loader)
       26    0.000    0.000    0.010    0.000 six.py:190(find_spec)
     4596    0.005    0.000    0.010    0.000 sre_parse.py:258(getwhile)
       13    0.005    0.000    0.010    0.001 config.py:1013(make_promise_schema)
        4    0.000    0.000    0.010    0.003 six.py:215(is_package)
        1    0.000    0.000    0.010    0.010 six.py:120(__getattr__)
    33616    0.010    0.000    0.010    0.000 lex_attrs.py:59(is_quote)
      254    0.001    0.000    0.010    0.000 typing.py:469(Optional)
      275    0.001    0.000    0.010    0.000 metadata.py:444(search)
    33147    0.010    0.000    0.010    0.000 {method 'count' of 'str' objects}
     1744    0.006    0.000    0.010    0.000 functools.py:35(update_wrapper)
    72274    0.010    0.000    0.010    0.000 {method 'isdigit' of 'str' objects}
       44    0.000    0.000    0.010    0.000 managers.py:276(apply)
    11602    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        3    0.000    0.000    0.009    0.003 concat.py:1(<module>)
        1    0.000    0.000    0.009    0.009 aggregation.py:1(<module>)
        1    0.000    0.000    0.009    0.009 fromnumeric.py:1(<module>)
    33616    0.009    0.000    0.009    0.000 lex_attrs.py:153(suffix)
       11    0.000    0.000    0.009    0.001 frame.py:4356(insert)
        1    0.000    0.000    0.009    0.009 py3k.py:1(<module>)
      618    0.001    0.000    0.009    0.000 typing.py:831(copy_with)
     8535    0.004    0.000    0.009    0.000 scanner.py:198(need_more_tokens)
        1    0.000    0.000    0.009    0.009 config.py:193(interpolate)
        2    0.000    0.000    0.009    0.005 categorical.py:1(<module>)
        5    0.000    0.000    0.009    0.002 __init__.py:109(import_module)
        5    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap>:1018(_gcd_import)
        1    0.000    0.000    0.009    0.009 model.py:604(from_dict)
       11    0.000    0.000    0.009    0.001 construction.py:256(ndarray_to_mgr)
        2    0.000    0.000    0.009    0.004 config.py:720(resolve)
     1409    0.001    0.000    0.009    0.000 typing.py:667(__init__)
      132    0.001    0.000    0.009    0.000 series.py:315(__init__)
        1    0.000    0.000    0.009    0.009 _pickle.py:1(<module>)
    33616    0.009    0.000    0.009    0.000 lex_attrs.py:66(is_left_punct)
    33616    0.009    0.000    0.009    0.000 vocab.pyx:207(_add_lex_to_vocab)
    44/33    0.001    0.000    0.009    0.000 base.py:5957(insert)
        1    0.000    0.000    0.009    0.009 index_tricks.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.008    0.008 client.py:1(<module>)
       33    0.000    0.000    0.008    0.000 base.py:5262(get_indexer_for)
       22    0.000    0.000    0.008    0.000 frame.py:3769(_set_item)
       33    0.000    0.000    0.008    0.000 functools.py:872(wrapper)
      750    0.001    0.000    0.008    0.000 vocab.pyx:242(__getitem__)
     1245    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      761    0.004    0.000    0.008    0.000 doc.pyx:177(__init__)
     2618    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      313    0.000    0.000    0.008    0.000 sre_parse.py:96(closegroup)
       33    0.000    0.000    0.008    0.000 model.py:798(deserialize_attr)
       11    0.000    0.000    0.008    0.001 managers.py:461(to_native_types)
       22    0.000    0.000    0.008    0.000 frame.py:3744(_set_item_mgr)
      778    0.000    0.000    0.008    0.000 re.py:203(sub)
       33    0.000    0.000    0.008    0.000 base.py:3426(get_indexer)
      107    0.001    0.000    0.008    0.000 compute.py:81(_decorate_compute_function)
      260    0.000    0.000    0.008    0.000 pathlib.py:1252(read_text)
       44    0.000    0.000    0.008    0.000 blocks.py:639(to_native_types)
        1    0.000    0.000    0.008    0.008 numerictypes.py:1(<module>)
